day,open,close
300,2.860000,2.860000
301,2.810000,2.820000
302,2.820000,2.840000
303,2.840000,2.840000
304,2.810000,2.800000
305,2.790000,2.810000
306,2.810000,2.820000
307,2.820000,2.810000
308,2.800000,2.800000
309,2.780000,2.790000
310,2.810000,2.800000
311,2.800000,2.790000
312,2.790000,2.800000
313,2.800000,2.790000
314,2.800000,2.800000
315,2.810000,2.780000
316,2.800000,2.810000
317,2.790000,2.800000
318,2.800000,2.800000
319,2.800000,2.790000
320,2.800000,2.780000
321,2.770000,2.780000
322,2.780000,2.770000
323,2.780000,2.790000
324,2.780000,2.770000
325,2.770000,2.780000
326,2.780000,2.790000
327,2.790000,2.780000
328,2.780000,2.790000
329,2.780000,2.770000
330,2.770000,2.770000
331,2.780000,2.780000
332,2.780000,2.790000
333,2.790000,2.790000
334,2.780000,2.800000
335,2.790000,2.780000
336,2.780000,2.780000
337,2.760000,2.760000
338,2.760000,2.760000
339,2.760000,2.740000
340,2.750000,2.750000
341,2.750000,2.750000
342,2.750000,2.750000
343,2.750000,2.770000
344,2.770000,2.730000
345,2.740000,2.710000
346,2.720000,2.720000
347,2.720000,2.710000
348,2.700000,2.680000
349,2.680000,2.720000
350,2.710000,2.710000
351,2.710000,2.690000
352,2.690000,2.720000
353,2.720000,2.720000
354,2.710000,2.730000
355,2.710000,2.700000
356,2.680000,2.720000
357,2.720000,2.720000
358,2.720000,2.720000
359,2.720000,2.710000
360,2.720000,2.700000
361,2.700000,2.690000
362,2.700000,2.650000
363,2.650000,2.620000
364,2.630000,2.630000
365,2.640000,2.610000
366,2.600000,2.580000
367,2.580000,2.600000
368,2.600000,2.590000
369,2.590000,2.600000
370,2.610000,2.580000
371,2.590000,2.620000
372,2.620000,2.640000
373,2.650000,2.700000
374,2.710000,2.720000
375,2.710000,2.700000
376,2.710000,2.720000
377,2.710000,2.700000
378,2.690000,2.700000
379,2.700000,2.730000
380,2.730000,2.730000
381,2.730000,2.730000
382,2.730000,2.700000
383,2.710000,2.780000
384,2.770000,2.740000
385,2.760000,2.740000
386,2.760000,2.770000
387,2.770000,2.760000
388,2.770000,2.780000
389,2.770000,2.770000
